latitude,longitude,altitude,geometry,previous_dominating_activity,bearing,previous_dominating_activity_confidence,current_dominating_activity,timestamp,created_at,feature,id,speed,route,current_dominating_activity_confidence,accuracy
-6.7529211,39.2812805,,Point,still,0,100,in_vehicle,2015-11-29T23:01:53+03:00,2015-11-29 20:01:58,passive_tracking,172,0,,52,39
-6.7994633,39.2753233,,Point,,92,0,on_foot,2015-11-29T17:59:37+03:00,2015-11-29 14:59:53,passive_tracking,173,92,,15,4.5
-6.8514833,39.2311166,,Point,in_vehicle,247,95,,2015-11-29T19:11:45+03:00,2015-11-29 16:11:57,passive_tracking,175,247,,0,6.3
-6.7599653,39.2719962,,Point,still,0,6,on_foot,2015-11-29T19:13:51+03:00,2015-11-29 16:13:58,passive_tracking,176,0,,14,66.007
-6.8699816,39.192185,,Point,,249,0,in_vehicle,2015-11-29T19:20:50+03:00,2015-11-29 16:20:55,passive_tracking,177,249,,57,5.1
-6.7656276,39.2792084,,Point,in_vehicle,0,62,,2015-11-29T19:22:49+03:00,2015-11-29 16:22:51,passive_tracking,178,0,,0,36
-6.876575,39.166995,,Point,on_foot,244,54,,2015-11-29T19:39:00+03:00,2015-11-29 16:39:29,passive_tracking,180,244,,0,6.5
-6.7976083,39.2813766,,Point,on_foot,57,46,,2015-11-29T18:03:16+03:00,2015-11-29 15:03:24,passive_tracking,181,57,,0,4.5
-6.73804,39.2824233,,Point,in_vehicle,227,100,,2015-11-29T18:18:50+03:00,2015-11-29 15:18:58,passive_tracking,182,227,,0,7.1
-6.8439426,39.2463805,,Point,in_vehicle,0,85,still,2015-11-29T18:32:37+03:00,2015-11-29 15:32:47,passive_tracking,183,0,,100,39
-6.8514833,39.2311166,,Point,in_vehicle,247,95,,2015-11-29T19:11:45+03:00,2015-11-29 16:11:58,passive_tracking,184,247,,0,6.3
-6.7652424,39.2800122,,Point,on_bicycle,0,17,,2015-11-29T20:00:14+03:00,2015-11-29 17:00:24,passive_tracking,185,0,,0,40.5
-6.7654564,39.2796774,,Point,on_bicycle,0,17,on_foot,2015-11-29T19:58:32+03:00,2015-11-29 16:58:36,passive_tracking,186,0,,37,13.9
